Twitter,Nome,Partito,Tipo
matteosalvinimi,Matteo Salvini,Lega,Senato
luigidimaio,Luigi di Maio,M5S,Senato
rossellaaccoto,Rossella Accoto,M5S,Senato
AimiEnrico,Enrico Aimi,Forza Italia,Senato
AlbertoAirola,Alberto Airola,M5S,Senato
Pres_Casellati,Maria Elisabetta Alberti Casellati,Forza Italia,Senato
LegaValeria,Valeria Alessandrini,Lega,Senato
ale_alfieri,Alessandro Alfieri,PD,Senato
AnastasiMv5,Cristiano Anastasi,M5S,Senato
fofino3,Luisa Angrisani,M5S,Senato
arrigoni_paolo,Paolo Arrigoni,Lega,Senato
BrunoAstorre,Bruno Astorre,PD,Senato
augussori,Luigi Augussori,Lega,Senato
abarachini,Alberto Barachini,Forza Italia,Senato
AlbertoBagnai,Alberto Bagnai,Lega,Senato
ClaudioBarbaro,Claudio Barbaro,FDI,Senato
frabattistoni,Francesco Battistoni,Forza Italia,Senato
TeresaBellanova,Teresa Bellanova,Italia Viva,Senato
Roby_Berardi,Roberto Berardi,Forza Italia,Senato
GiorgioBergesio,Giorgio Maria Bergesio,Lega,Senato
BerniniAM,Anna Maria Bernini,Forza Italia,Senato
MBerutt,Massimo Berutti,Coraggio Italia,Senato
paolabinetti,Paola Binetti,Forza Italia,Senato
caterinabini,Caterina Bini,PD,Senato
caterinabiti,Caterina Biti,PD,Senato
boldrini_paola,Paola Boldrini,PD,Senato
gbongiorno66,Giulia Bongiorno,Lega,Senato
FrancescoBonif1,Francesco Bonifazi,Italia Viva,Senato
emmabonino,Emma Bonino,Azione-+Europa,Senato
BorghesiStefano,Stefano Borghesi,Lega,Senato
senborgonzoni,Lucia Borgonzoni,Lega,Senato
SimoneBossiLega,Simone Bossi,Lega,Senato
LauraBottici,Laura Bottici,M5S,Senato
elenabotto_m5s,Elena Botto,M5S,Senato
GianclaudioB,Gianclaudio Bressa,PD,Senato
LBriziarelli,Luca Briziarelli,Lega,Senato
BruzzoneLega,Francesco Bruzzone,Lega,Senato
MBuccarella,Maurizio Buccarella,Ex M5S,Senato
calandriniLT,Nicola Calandrini,FDI,Senato
andrea_cangini,Andrea Cangini,Forza Italia,Senato
MariaCr49183334,Maria Cristina Cantù,Lega,Senato
AdrianoCario,Adriano Cario,MAIE,Senato
Pierferdinando,Pier Ferdinando Casini,UDC,Senato
casolati,Marzia Casolati,Lega,Senato
GianlucaVasto,Gianluca Castaldi,M5S,Senato
MariaDomenicaC4,Maria Domenica Castellone,M5S,Senato
CatalfoNunzia,Nunzia Catalfo,M5S,Senato
Andreacausin72,Andrea Causin,Forza Italia,Senato
giamma71,Gian Marco Centinaio,Lega,Senato
Tommasocerno,Tommaso Cerno,Italia Viva,Senato
ciampolillolell,Lello Ciampolillo ,Ex M5S,Senato
andrea_cioffi,Andrea Cioffi,M5S,Senato
ciriani_luca,Luca Ciriani,FDI,Senato
MonicaCirinna,Monica Cirinnà,PD,Senato
CollinaStefano,Stefano Collina,PD,Senato
MauroColtorti,Mauro Coltorti,M5S,Senato
Comincini,Eugenio Comincini,Italia Viva,Senato
